Seed:  5543615008801415811
Testing 1 Robots
Solution time: 0.019523143768310547s

Testing 2 Robots
Solution time: 0.0589900016784668s

Testing 3 Robots
Solution time: 0.07251763343811035s

Testing 4 Robots
Solution time: 0.08301854133605957s

Testing 5 Robots
Solution time: 0.08946418762207031s

Testing 6 Robots
Solution time: 0.09752082824707031s

Testing 7 Robots
Solution time: 0.11350870132446289s

Testing 8 Robots
Solution time: 0.12901782989501953s

Testing 9 Robots
Solution time: 0.09602093696594238s

Testing 10 Robots
Solution time: 0.11351919174194336s

Testing 11 Robots
Solution time: 0.11850094795227051s

Testing 12 Robots
Solution time: 0.1315171718597412s

Testing 13 Robots
Solution time: 0.1289830207824707s

Testing 14 Robots
Solution time: 0.14152050018310547s

Testing 15 Robots
Solution time: 0.14550542831420898s

Testing 16 Robots
Solution time: 0.15651917457580566s

Testing 17 Robots
Solution time: 0.15951752662658691s

Testing 18 Robots
Solution time: 0.1815042495727539s

Testing 19 Robots
Solution time: 0.1844794750213623s

Testing 20 Robots
Solution time: 0.20441699028015137s

Testing 21 Robots
Solution time: 0.20851850509643555s

Testing 22 Robots
Solution time: 0.2249925136566162s

Testing 23 Robots
Solution time: 0.22151851654052734s

Testing 24 Robots
Solution time: 0.25687670707702637s

Testing 25 Robots
Solution time: 0.2504918575286865s

Testing 26 Robots
Solution time: 0.2550010681152344s

Testing 27 Robots
Solution time: 0.2530186176300049s

Testing 28 Robots
Solution time: 0.3190174102783203s

Testing 29 Robots
Solution time: 0.32251882553100586s

Testing 30 Robots
Solution time: 0.4139986038208008s

Testing 31 Robots
Solution time: 0.4454796314239502s

Testing 32 Robots
Solution time: 0.4449949264526367s

Testing 33 Robots
Solution time: 0.46651697158813477s

Testing 34 Robots
Solution time: 0.4739949703216553s

Testing 35 Robots
Solution time: 0.5174462795257568s

Testing 36 Robots
Solution time: 0.4920055866241455s

Testing 37 Robots
Solution time: 0.5615172386169434s

Testing 38 Robots
Solution time: 0.5560173988342285s

Testing 39 Robots
Solution time: 0.6330032348632812s

Testing 40 Robots
Solution time: 0.6845176219940186s

Testing 41 Robots
Solution time: 0.7715189456939697s

Testing 42 Robots
Solution time: 0.8265199661254883s

Testing 43 Robots
Solution time: 0.8040237426757812s

Testing 44 Robots
Solution time: 0.7795453071594238s

Testing 45 Robots
Solution time: 0.8434979915618896s

Testing 46 Robots
Solution time: 0.8555409908294678s

Testing 47 Robots
Solution time: 0.8690004348754883s

Testing 48 Robots
Solution time: 0.8360178470611572s

Testing 49 Robots
Solution time: 0.936516284942627s

Testing 50 Robots
Solution time: 0.9815027713775635s

Testing 51 Robots
Solution time: 0.9454164505004883s

Testing 52 Robots
Solution time: 0.9365277290344238s

Testing 53 Robots
Solution time: 1.030019998550415s

Testing 54 Robots
Solution time: 0.9980175495147705s

Testing 55 Robots
Solution time: 1.1314976215362549s

Testing 56 Robots
Solution time: 1.1059186458587646s

Testing 57 Robots
Solution time: 1.1155154705047607s

Testing 58 Robots
Solution time: 2.3939974308013916s

Testing 59 Robots
Solution time: 2.4465198516845703s

Testing 60 Robots
Solution time: 2.497023105621338s

Testing 61 Robots
Solution time: 2.475979804992676s

Testing 62 Robots
Solution time: 2.6560206413269043s

Testing 63 Robots
Solution time: 2.811483383178711s

Testing 64 Robots
Solution time: 2.8110039234161377s

Testing 65 Robots
