Seed:  6711895536294634067
Testing 1 Robots
Solution time: 0.25707006454467773s

Testing 2 Robots
Solution time: 14.777212619781494s

Testing 3 Robots
Solution time: 24.382418632507324s

Testing 4 Robots
Solution time: 34.83048987388611s

Testing 5 Robots
Solution time: 44.827667236328125s

Testing 6 Robots
Solution time: 52.05278921127319s

Testing 7 Robots
Solution time: 66.27757549285889s

Testing 8 Robots
Solution time: 94.63808631896973s

Testing 9 Robots
Solution time: 78.42005944252014s

Testing 10 Robots
Solution time: 85.53729391098022s

Testing 11 Robots
Solution time: 97.07002758979797s

Testing 12 Robots
Timeout
