Seed:  1610602899637647194
Testing 1 Robots
Solution time: 0.22571063041687012s

Testing 2 Robots
Solution time: 0.3544960021972656s

Testing 3 Robots
Solution time: 0.4942502975463867s

Testing 4 Robots
Solution time: 0.6763651371002197s

Testing 5 Robots
Solution time: 0.8642542362213135s

Testing 6 Robots
Solution time: 1.0252397060394287s

Testing 7 Robots
Solution time: 1.2669196128845215s

Testing 8 Robots
Solution time: 1.314922571182251s

Testing 9 Robots
Solution time: 1.4325461387634277s

Testing 10 Robots
Solution time: 1.592947006225586s

Testing 11 Robots
Solution time: 1.8757312297821045s

Testing 12 Robots
Solution time: 2.645869493484497s

Testing 13 Robots
Solution time: 2.0214860439300537s

Testing 14 Robots
Solution time: 5.3082520961761475s

Testing 15 Robots
Solution time: 3.0381433963775635s

Testing 16 Robots
Solution time: 3.495624542236328s

Testing 17 Robots
Solution time: 6.835765838623047s

Testing 18 Robots
Solution time: 4.540550708770752s

Testing 19 Robots
Solution time: 5.080052137374878s

Testing 20 Robots
Solution time: 4.824470520019531s

Testing 21 Robots
Solution time: 5.2084338665008545s

Testing 22 Robots
Solution time: 5.565586805343628s

Testing 23 Robots
Solution time: 5.693861484527588s

Testing 24 Robots
Solution time: 5.9083778858184814s

Testing 25 Robots
Solution time: 9.082927227020264s

Testing 26 Robots
Solution time: 23.462570667266846s

Testing 27 Robots
Solution time: 6.907094955444336s

Testing 28 Robots
Solution time: 7.63421893119812s

Testing 29 Robots
Solution time: 7.437305927276611s

Testing 30 Robots
Solution time: 8.015634298324585s

Testing 31 Robots
Solution time: 9.932525396347046s

Testing 32 Robots
Solution time: 8.341829299926758s

Testing 33 Robots
Solution time: 8.423956871032715s

Testing 34 Robots
Solution time: 9.409390449523926s

Testing 35 Robots
Solution time: 12.531461238861084s

Testing 36 Robots
Solution time: 10.48660659790039s

Testing 37 Robots
Solution time: 10.911000967025757s

Testing 38 Robots
Solution time: 11.251744985580444s

Testing 39 Robots
Solution time: 11.253684520721436s

Testing 40 Robots
Solution time: 11.2346031665802s

Testing 41 Robots
Solution time: 12.5404953956604s

Testing 42 Robots
Solution time: 12.09490966796875s

Testing 43 Robots
Solution time: 11.989019393920898s

Testing 44 Robots
Solution time: 12.146921873092651s

Testing 45 Robots
Solution time: 13.427184581756592s

Testing 46 Robots
Solution time: 13.810569286346436s

Testing 47 Robots
Solution time: 13.784469604492188s

Testing 48 Robots
Solution time: 13.274929285049438s

Testing 49 Robots
Solution time: 18.312270879745483s

Testing 50 Robots
Solution time: 13.52802324295044s

Testing 51 Robots
Solution time: 15.08649730682373s

Testing 52 Robots
Solution time: 15.778024196624756s

Testing 53 Robots
Solution time: 15.462311506271362s

Testing 54 Robots
Solution time: 15.656201362609863s

Testing 55 Robots
Solution time: 16.00885009765625s

Testing 56 Robots
Solution time: 17.008520364761353s

Testing 57 Robots
Solution time: 16.746920108795166s

Testing 58 Robots
Solution time: 18.30919313430786s

Testing 59 Robots
Solution time: 23.054315090179443s

Testing 60 Robots
Solution time: 19.17025351524353s

Testing 61 Robots
Solution time: 19.535052061080933s

Testing 62 Robots
Solution time: 23.243239879608154s

Testing 63 Robots
Timeout
