Seed:  8909671586647046273
Testing 1 Robots
Solution time: 0.024024248123168945s

Testing 2 Robots
Solution time: 0.0325312614440918s

Testing 3 Robots
Solution time: 0.04349780082702637s

Testing 4 Robots
Solution time: 0.04454159736633301s

Testing 5 Robots
Solution time: 0.05500030517578125s

Testing 6 Robots
Solution time: 0.06201338768005371s

Testing 7 Robots
Solution time: 0.06749486923217773s

Testing 8 Robots
Solution time: 0.08151626586914062s

Testing 9 Robots
Solution time: 0.0870060920715332s

Testing 10 Robots
Solution time: 0.09552359580993652s

Testing 11 Robots
Solution time: 0.22699666023254395s

Testing 12 Robots
Solution time: 0.246018648147583s

Testing 13 Robots
Solution time: 0.28002429008483887s

Testing 14 Robots
Solution time: 0.28651976585388184s

Testing 15 Robots
Solution time: 0.2994992733001709s

Testing 16 Robots
Solution time: 0.3150160312652588s

Testing 17 Robots
Solution time: 0.3260159492492676s

Testing 18 Robots
Solution time: 0.3955204486846924s

Testing 19 Robots
Solution time: 0.3835170269012451s

Testing 20 Robots
Solution time: 0.3814985752105713s

Testing 21 Robots
Solution time: 0.41101646423339844s

Testing 22 Robots
Solution time: 0.42948246002197266s

Testing 23 Robots
Solution time: 0.44397830963134766s

Testing 24 Robots
Solution time: 0.4614729881286621s

Testing 25 Robots
Solution time: 0.4935019016265869s

Testing 26 Robots
Solution time: 0.519984245300293s

Testing 27 Robots
Solution time: 0.33202552795410156s

Testing 28 Robots
Solution time: 0.3320002555847168s

Testing 29 Robots
Solution time: 0.36597681045532227s

Testing 30 Robots
Solution time: 0.3865091800689697s

Testing 31 Robots
Solution time: 0.3835165500640869s

Testing 32 Robots
Solution time: 0.39652562141418457s

Testing 33 Robots
Solution time: 0.4265439510345459s

Testing 34 Robots
Solution time: 0.4174649715423584s

Testing 35 Robots
Solution time: 0.4625229835510254s

Testing 36 Robots
Solution time: 0.4514915943145752s

Testing 37 Robots
Solution time: 0.49047327041625977s

Testing 38 Robots
Solution time: 0.5265414714813232s

Testing 39 Robots
Solution time: 0.49050068855285645s

Testing 40 Robots
Solution time: 0.5050156116485596s

Testing 41 Robots
Solution time: 0.5305180549621582s

Testing 42 Robots
Solution time: 0.5270164012908936s

Testing 43 Robots
Solution time: 0.5610189437866211s

Testing 44 Robots
Solution time: 0.5575203895568848s

Testing 45 Robots
Solution time: 0.5609807968139648s

Testing 46 Robots
Solution time: 0.558021068572998s

Testing 47 Robots
Solution time: 1.2840232849121094s

Testing 48 Robots
Solution time: 1.3609986305236816s

Testing 49 Robots
Solution time: 1.3895151615142822s

Testing 50 Robots
Solution time: 1.4145004749298096s

Testing 51 Robots
Solution time: 1.3915174007415771s

Testing 52 Robots
Solution time: 1.350506067276001s

Testing 53 Robots
Solution time: 1.4955177307128906s

Testing 54 Robots
Solution time: 1.0409984588623047s

Testing 55 Robots
Solution time: 1.0585215091705322s

Testing 56 Robots
Solution time: 1.1014974117279053s

Testing 57 Robots
Solution time: 1.1470229625701904s

Testing 58 Robots
Solution time: 1.179497480392456s

Testing 59 Robots
Solution time: 1.1995115280151367s

Testing 60 Robots
Solution time: 1.301994800567627s

Testing 61 Robots
Solution time: 1.0970191955566406s

Testing 62 Robots
Solution time: 1.2605173587799072s

Testing 63 Robots
Solution time: 1.2745015621185303s

Testing 64 Robots
Solution time: 1.3880259990692139s

Testing 65 Robots
Solution time: 1.3330175876617432s

Testing 66 Robots
Solution time: 1.4085030555725098s

Testing 67 Robots
Solution time: 1.518517017364502s

Testing 68 Robots
Solution time: 1.489516019821167s

Testing 69 Robots
Solution time: 1.5550167560577393s

Testing 70 Robots
Solution time: 1.578526258468628s

Testing 71 Robots
Solution time: 1.5835180282592773s

Testing 72 Robots
Solution time: 1.570021629333496s

Testing 73 Robots
Solution time: 1.6500213146209717s

Testing 74 Robots
Solution time: 1.7069776058197021s

Testing 75 Robots
Solution time: 1.797516107559204s

Testing 76 Robots
Solution time: 1.7224984169006348s

Testing 77 Robots
Solution time: 1.7495176792144775s

Testing 78 Robots
Solution time: 1.8239965438842773s

Testing 79 Robots
Solution time: 1.8420195579528809s

Testing 80 Robots
Solution time: 1.8525173664093018s

Testing 81 Robots
Solution time: 1.885016918182373s

Testing 82 Robots
Solution time: 1.9079983234405518s

Testing 83 Robots
Solution time: 1.8825156688690186s

Testing 84 Robots
Solution time: 1.9250168800354004s

Testing 85 Robots
Solution time: 1.9740395545959473s

Testing 86 Robots
Solution time: 2.08451771736145s

Testing 87 Robots
Solution time: 2.0535173416137695s

Testing 88 Robots
Solution time: 2.1670000553131104s

Testing 89 Robots
Solution time: 2.2264997959136963s

Testing 90 Robots
Solution time: 2.235018253326416s

Testing 91 Robots
Solution time: 2.2725255489349365s

Testing 92 Robots
Solution time: 2.1945178508758545s

Testing 93 Robots
Solution time: 2.2040202617645264s

Testing 94 Robots
Solution time: 2.251018762588501s

Testing 95 Robots
Solution time: 2.326003074645996s

Testing 96 Robots
Solution time: 2.565019369125366s

Testing 97 Robots
Solution time: 2.324002504348755s

Testing 98 Robots
Solution time: 2.5095293521881104s

Testing 99 Robots
Solution time: 2.55400013923645s

Testing 100 Robots
Solution time: 2.3739962577819824s

Testing 101 Robots
Solution time: 3.559000015258789s

Testing 102 Robots
Solution time: 3.8120005130767822s

Testing 103 Robots
Solution time: 4.111515522003174s

Testing 104 Robots
Solution time: 3.999016046524048s

Testing 105 Robots
Solution time: 3.9505245685577393s

Testing 106 Robots
Solution time: 4.03999924659729s

Testing 107 Robots
Solution time: 3.731527090072632s

Testing 108 Robots
Solution time: 4.133996486663818s

Testing 109 Robots
Solution time: 3.820507526397705s

Testing 110 Robots
Solution time: 4.389021396636963s

Testing 111 Robots
Solution time: 3.8545148372650146s

Testing 112 Robots
Solution time: 3.9489920139312744s

Testing 113 Robots
Solution time: 4.413525581359863s

Testing 114 Robots
Solution time: 4.612020492553711s

Testing 115 Robots
Solution time: 4.894019365310669s

Testing 116 Robots
Solution time: 4.651495933532715s

Testing 117 Robots
Solution time: 4.914491415023804s

Testing 118 Robots
Solution time: 4.096518516540527s

Testing 119 Robots
Solution time: 4.781998157501221s

Testing 120 Robots
Solution time: 5.145023345947266s

Testing 121 Robots
Solution time: 5.107997894287109s

Testing 122 Robots
Solution time: 4.912005424499512s

Testing 123 Robots
Solution time: 5.704482078552246s

Testing 124 Robots
Solution time: 5.283996820449829s

Testing 125 Robots
Solution time: 5.359017372131348s

Testing 126 Robots
Solution time: 4.960520267486572s

Testing 127 Robots
Solution time: 4.770001649856567s

Testing 128 Robots
Solution time: 6.031996726989746s

