Seed:  7239827197803978543
Testing 1 Robots
Solution time: 0.03723454475402832s

Testing 2 Robots
Solution time: 0.047582387924194336s

Testing 3 Robots
Solution time: 0.05691027641296387s

Testing 4 Robots
Solution time: 0.09276008605957031s

Testing 5 Robots
Solution time: 0.10538792610168457s

Testing 6 Robots
Solution time: 0.23305392265319824s

Testing 7 Robots
Solution time: 0.18555951118469238s

Testing 8 Robots
Solution time: 0.3291604518890381s

Testing 9 Robots
Solution time: 0.3421170711517334s

Testing 10 Robots
Solution time: 0.4092574119567871s

Testing 11 Robots
Solution time: 0.5278420448303223s

Testing 12 Robots
Solution time: 0.3899037837982178s

Testing 13 Robots
Solution time: 0.840618371963501s

Testing 14 Robots
Solution time: 1.468954086303711s

Testing 15 Robots
Solution time: 0.8198394775390625s

Testing 16 Robots
Solution time: 1.1628460884094238s

Testing 17 Robots
Solution time: 0.9621493816375732s

Testing 18 Robots
Solution time: 1.0117661952972412s

Testing 19 Robots
Solution time: 1.3346240520477295s

Testing 20 Robots
Solution time: 0.8877444267272949s

Testing 21 Robots
Solution time: 1.1140203475952148s

Testing 22 Robots
Solution time: 1.2844722270965576s

Testing 23 Robots
Solution time: 1.0527849197387695s

Testing 24 Robots
Solution time: 1.285654067993164s

Testing 25 Robots
Solution time: 1.5059318542480469s

Testing 26 Robots
Solution time: 1.277634859085083s

Testing 27 Robots
Solution time: 1.463778018951416s

Testing 28 Robots
Solution time: 1.3420226573944092s

Testing 29 Robots
Solution time: 1.6072444915771484s

Testing 30 Robots
Solution time: 1.580012559890747s

Testing 31 Robots
Solution time: 1.562408685684204s

Testing 32 Robots
Solution time: 1.9447376728057861s

Testing 33 Robots
Solution time: 2.0645177364349365s

Testing 34 Robots
Solution time: 1.6816763877868652s

Testing 35 Robots
Solution time: 1.7989976406097412s

Testing 36 Robots
Solution time: 2.0230226516723633s

Testing 37 Robots
Solution time: 2.02708101272583s

Testing 38 Robots
Solution time: 2.0170738697052s

Testing 39 Robots
Solution time: 2.1405720710754395s

Testing 40 Robots
Solution time: 2.1266167163848877s

Testing 41 Robots
Solution time: 2.233903169631958s

Testing 42 Robots
Solution time: 2.3983829021453857s

Testing 43 Robots
Solution time: 2.287553548812866s

Testing 44 Robots
Solution time: 2.7269980907440186s

Testing 45 Robots
Solution time: 2.563946008682251s

Testing 46 Robots
Solution time: 2.4837563037872314s

Testing 47 Robots
Solution time: 2.7969558238983154s

Testing 48 Robots
Solution time: 2.678464412689209s

Testing 49 Robots
Solution time: 2.836361885070801s

Testing 50 Robots
Solution time: 3.086257219314575s

Testing 51 Robots
Solution time: 2.9003500938415527s

Testing 52 Robots
Solution time: 3.044160842895508s

Testing 53 Robots
Solution time: 3.2481606006622314s

Testing 54 Robots
Solution time: 3.1938769817352295s

Testing 55 Robots
Solution time: 3.4332070350646973s

Testing 56 Robots
Solution time: 3.2259416580200195s

Testing 57 Robots
Solution time: 3.347505569458008s

Testing 58 Robots
Solution time: 3.7293689250946045s

Testing 59 Robots
Solution time: 3.77726149559021s

Testing 60 Robots
