Seed:  5868524372832578852
Testing 1 Robots
Solution time: 0.053154706954956055s

Testing 2 Robots
Solution time: 0.059221744537353516s

Testing 3 Robots
Solution time: 0.08115577697753906s

Testing 4 Robots
Solution time: 0.11078333854675293s

Testing 5 Robots
Solution time: 0.1349785327911377s

Testing 6 Robots
Solution time: 0.6554181575775146s

Testing 7 Robots
Solution time: 0.7825658321380615s

Testing 8 Robots
Solution time: 0.9436583518981934s

Testing 9 Robots
Solution time: 1.009408950805664s

Testing 10 Robots
Solution time: 1.110581398010254s

Testing 11 Robots
Solution time: 1.265367031097412s

Testing 12 Robots
Solution time: 1.4949257373809814s

Testing 13 Robots
Solution time: 1.6652345657348633s

Testing 14 Robots
Solution time: 1.7346911430358887s

Testing 15 Robots
Solution time: 1.8758597373962402s

Testing 16 Robots
Solution time: 1.9598720073699951s

Testing 17 Robots
Solution time: 2.139174699783325s

Testing 18 Robots
Solution time: 2.1786715984344482s

Testing 19 Robots
Solution time: 2.3602797985076904s

Testing 20 Robots
Solution time: 2.517045497894287s

Testing 21 Robots
Solution time: 2.7511541843414307s

Testing 22 Robots
Solution time: 2.7224974632263184s

Testing 23 Robots
Solution time: 2.9651501178741455s

Testing 24 Robots
Solution time: 3.108130693435669s

Testing 25 Robots
Solution time: 3.3320651054382324s

Testing 26 Robots
Solution time: 3.4056663513183594s

Testing 27 Robots
Solution time: 3.499246835708618s

Testing 28 Robots
Solution time: 3.879163980484009s

Testing 29 Robots
Solution time: 4.098252058029175s

Testing 30 Robots
Solution time: 4.290198087692261s

Testing 31 Robots
Solution time: 4.5472612380981445s

Testing 32 Robots
Solution time: 4.654517650604248s

Testing 33 Robots
Solution time: 4.811481952667236s

Testing 34 Robots
Solution time: 4.933088779449463s

Testing 35 Robots
Solution time: 5.099288463592529s

Testing 36 Robots
Solution time: 5.140150785446167s

Testing 37 Robots
Solution time: 5.663456678390503s

Testing 38 Robots
Solution time: 5.5480663776397705s

Testing 39 Robots
Solution time: 5.481363534927368s

Testing 40 Robots
Solution time: 5.7542383670806885s

Testing 41 Robots
Solution time: 5.989514112472534s

Testing 42 Robots
Solution time: 6.405063629150391s

Testing 43 Robots
Solution time: 6.497125625610352s

Testing 44 Robots
Solution time: 6.409995794296265s

Testing 45 Robots
Solution time: 6.57716703414917s

Testing 46 Robots
Solution time: 6.768431663513184s

Testing 47 Robots
Solution time: 7.474767446517944s

Testing 48 Robots
Solution time: 7.049087047576904s

Testing 49 Robots
Solution time: 7.650836944580078s

Testing 50 Robots
Solution time: 7.4652369022369385s

Testing 51 Robots
Solution time: 7.800895929336548s

Testing 52 Robots
Solution time: 7.7696192264556885s

Testing 53 Robots
Solution time: 7.88803505897522s

Testing 54 Robots
Solution time: 8.146997213363647s

Testing 55 Robots
Solution time: 8.788015842437744s

Testing 56 Robots
Solution time: 8.548009872436523s

Testing 57 Robots
Solution time: 8.487608909606934s

Testing 58 Robots
Solution time: 9.309703826904297s

Testing 59 Robots
Solution time: 9.179804563522339s

Testing 60 Robots
Solution time: 9.889641284942627s

Testing 61 Robots
Solution time: 10.18872356414795s

Testing 62 Robots
Solution time: 10.159018754959106s

Testing 63 Robots
Solution time: 9.877085208892822s

Testing 64 Robots
Solution time: 10.154800415039062s

Testing 65 Robots
Solution time: 11.024526357650757s

Testing 66 Robots
Solution time: 10.661909341812134s

Testing 67 Robots
Solution time: 10.910321950912476s

Testing 68 Robots
Solution time: 10.76738166809082s

Testing 69 Robots
Solution time: 11.180267572402954s

Testing 70 Robots
Solution time: 11.494564294815063s

Testing 71 Robots
Solution time: 11.357582807540894s

Testing 72 Robots
Solution time: 11.434878826141357s

Testing 73 Robots
Solution time: 11.53321385383606s

Testing 74 Robots
Solution time: 11.775760173797607s

Testing 75 Robots
Solution time: 12.215689659118652s

Testing 76 Robots
Solution time: 12.240532875061035s

Testing 77 Robots
Solution time: 12.651461362838745s

Testing 78 Robots
Solution time: 12.825494289398193s

Testing 79 Robots
Solution time: 13.4643075466156s

Testing 80 Robots
Solution time: 13.463951349258423s

Testing 81 Robots
Solution time: 13.752386331558228s

Testing 82 Robots
Solution time: 14.51607894897461s

Testing 83 Robots
Solution time: 15.141548156738281s

Testing 84 Robots
Solution time: 15.465277910232544s

Testing 85 Robots
Solution time: 15.32995343208313s

Testing 86 Robots
Solution time: 15.56949496269226s

Testing 87 Robots
Solution time: 15.681433200836182s

Testing 88 Robots
Timeout
