Seed:  2756502151450591453
Testing 1 Robots
Solution time: 0.1959702968597412s

Testing 2 Robots
Solution time: 0.3715529441833496s

Testing 3 Robots
Solution time: 0.689692497253418s

Testing 4 Robots
Solution time: 1.054335594177246s

Testing 5 Robots
Solution time: 1.5946571826934814s

Testing 6 Robots
Solution time: 2.7506799697875977s

Testing 7 Robots
Solution time: 4.471947431564331s

Testing 8 Robots
Solution time: 5.406399488449097s

Testing 9 Robots
Solution time: 5.906460523605347s

Testing 10 Robots
Solution time: 6.631368160247803s

Testing 11 Robots
Solution time: 8.528774976730347s

Testing 12 Robots
Solution time: 8.027402400970459s

Testing 13 Robots
Solution time: 8.511759757995605s

Testing 14 Robots
Solution time: 8.914570093154907s

Testing 15 Robots
Solution time: 13.085671424865723s

Testing 16 Robots
Solution time: 10.8171968460083s

Testing 17 Robots
Solution time: 13.784244298934937s

Testing 18 Robots
Solution time: 13.320094347000122s

Testing 19 Robots
Solution time: 13.708437442779541s

Testing 20 Robots
Solution time: 15.310683250427246s

Testing 21 Robots
Solution time: 18.863179206848145s

Testing 22 Robots
Solution time: 15.833714723587036s

Testing 23 Robots
Solution time: 20.480634212493896s

Testing 24 Robots
Solution time: 17.26310634613037s

Testing 25 Robots
Solution time: 18.321138858795166s

Testing 26 Robots
Solution time: 22.079119205474854s

Testing 27 Robots
Solution time: 22.56581950187683s

Testing 28 Robots
Solution time: 26.428560733795166s

Testing 29 Robots
Solution time: 41.31285047531128s

Testing 30 Robots
Solution time: 47.66067624092102s

Testing 31 Robots
Solution time: 50.25917840003967s

Testing 32 Robots
Solution time: 50.71598744392395s

Testing 33 Robots
Solution time: 62.02067804336548s

Testing 34 Robots
Timeout
