Seed:  117084157337957485
Testing 1 Robots
Solution time: 0.027514934539794922s

Testing 2 Robots
Solution time: 0.0851290225982666s

Testing 3 Robots
Solution time: 0.17032980918884277s

Testing 4 Robots
Solution time: 0.2395942211151123s

Testing 5 Robots
Solution time: 0.36133289337158203s

Testing 6 Robots
Solution time: 0.7976617813110352s

Testing 7 Robots
Solution time: 0.961810827255249s

Testing 8 Robots
Solution time: 1.0445797443389893s

Testing 9 Robots
Solution time: 1.045717716217041s

Testing 10 Robots
Solution time: 1.1875877380371094s

Testing 11 Robots
Solution time: 1.13938307762146s

Testing 12 Robots
Solution time: 1.44852876663208s

Testing 13 Robots
Solution time: 1.680488109588623s

Testing 14 Robots
Solution time: 1.601466417312622s

Testing 15 Robots
Solution time: 1.555424690246582s

Testing 16 Robots
Solution time: 2.346604824066162s

Testing 17 Robots
Solution time: 2.54803204536438s

Testing 18 Robots
Solution time: 3.5832269191741943s

Testing 19 Robots
Solution time: 4.742305278778076s

Testing 20 Robots
Solution time: 2.4875717163085938s

Testing 21 Robots
Solution time: 3.348088264465332s

Testing 22 Robots
Solution time: 4.681486129760742s

Testing 23 Robots
Solution time: 4.042939186096191s

Testing 24 Robots
Solution time: 6.743948698043823s

Testing 25 Robots
Solution time: 6.2882301807403564s

Testing 26 Robots
Solution time: 8.12388825416565s

Testing 27 Robots
Solution time: 8.100629329681396s

Testing 28 Robots
Solution time: 5.410736322402954s

Testing 29 Robots
Solution time: 6.8185930252075195s

Testing 30 Robots
Solution time: 7.013372421264648s

Testing 31 Robots
Solution time: 8.997055292129517s

Testing 32 Robots
Solution time: 7.05803918838501s

Testing 33 Robots
Solution time: 8.44562292098999s

Testing 34 Robots
Solution time: 8.6250638961792s

Testing 35 Robots
Solution time: 9.368869304656982s

Testing 36 Robots
Solution time: 11.789474725723267s

Testing 37 Robots
Solution time: 9.820502519607544s

Testing 38 Robots
Solution time: 7.892314434051514s

Testing 39 Robots
Solution time: 10.215051651000977s

Testing 40 Robots
Solution time: 11.475094079971313s

Testing 41 Robots
Solution time: 13.899440288543701s

Testing 42 Robots
Solution time: 13.228880643844604s

Testing 43 Robots
Solution time: 9.09103798866272s

Testing 44 Robots
Solution time: 13.75054144859314s

Testing 45 Robots
Solution time: 14.396675825119019s

Testing 46 Robots
Solution time: 13.270792484283447s

Testing 47 Robots
Solution time: 16.52903985977173s

Testing 48 Robots
Solution time: 13.546485185623169s

Testing 49 Robots
Solution time: 13.610667705535889s

Testing 50 Robots
Solution time: 13.54391074180603s

Testing 51 Robots
Solution time: 21.29459571838379s

Testing 52 Robots
Solution time: 12.826194763183594s

Testing 53 Robots
Solution time: 16.750467538833618s

Testing 54 Robots
Solution time: 16.335028171539307s

Testing 55 Robots
Solution time: 24.213621139526367s

Testing 56 Robots
Solution time: 20.3580322265625s

Testing 57 Robots
Solution time: 22.66517686843872s

Testing 58 Robots
Solution time: 26.283502101898193s

Testing 59 Robots
Solution time: 16.519654512405396s

Testing 60 Robots
Solution time: 16.955021142959595s

Testing 61 Robots
Solution time: 18.449142694473267s

Testing 62 Robots
Solution time: 19.551973819732666s

Testing 63 Robots
Solution time: 23.447699785232544s

Testing 64 Robots
Solution time: 21.4984929561615s

Testing 65 Robots
Timeout
