Seed:  7411859910590614128
Testing 1 Robots
Solution time: 0.053163766860961914s

Testing 2 Robots
Solution time: 0.06838655471801758s

Testing 3 Robots
Solution time: 0.09363245964050293s

Testing 4 Robots
Solution time: 0.12246108055114746s

Testing 5 Robots
Solution time: 0.14032506942749023s

Testing 6 Robots
Solution time: 0.17200613021850586s

Testing 7 Robots
Solution time: 0.16518783569335938s

Testing 8 Robots
Solution time: 0.23767375946044922s

Testing 9 Robots
Solution time: 0.29305243492126465s

Testing 10 Robots
Solution time: 0.2878894805908203s

Testing 11 Robots
Solution time: 0.28708624839782715s

Testing 12 Robots
Solution time: 0.37072110176086426s

Testing 13 Robots
Solution time: 0.35257411003112793s

Testing 14 Robots
Solution time: 0.4629476070404053s

Testing 15 Robots
Solution time: 0.4550340175628662s

Testing 16 Robots
Solution time: 0.5125348567962646s

Testing 17 Robots
Solution time: 0.48836302757263184s

Testing 18 Robots
Solution time: 0.7620398998260498s

Testing 19 Robots
Solution time: 1.1998062133789062s

Testing 20 Robots
Solution time: 0.6409115791320801s

Testing 21 Robots
Solution time: 0.7235870361328125s

Testing 22 Robots
Solution time: 0.7089056968688965s

Testing 23 Robots
Solution time: 0.7252674102783203s

Testing 24 Robots
Solution time: 0.7848336696624756s

Testing 25 Robots
Solution time: 0.8702754974365234s

Testing 26 Robots
Solution time: 0.8805913925170898s

Testing 27 Robots
Solution time: 1.39404296875s

Testing 28 Robots
Solution time: 1.3987677097320557s

Testing 29 Robots
Solution time: 1.4338738918304443s

Testing 30 Robots
Solution time: 1.5456030368804932s

Testing 31 Robots
Solution time: 1.566054344177246s

Testing 32 Robots
Solution time: 1.725355863571167s

Testing 33 Robots
Solution time: 1.581885576248169s

Testing 34 Robots
Solution time: 1.6589930057525635s

Testing 35 Robots
Solution time: 1.7554233074188232s

Testing 36 Robots
Solution time: 1.7674031257629395s

Testing 37 Robots
Solution time: 1.8008060455322266s

Testing 38 Robots
Solution time: 2.148453950881958s

Testing 39 Robots
Solution time: 2.0587995052337646s

Testing 40 Robots
Solution time: 2.2608439922332764s

Testing 41 Robots
Solution time: 2.120274543762207s

Testing 42 Robots
