Seed:  811832667176243291
Testing 1 Robots
Solution time: 0.024892330169677734s

Testing 2 Robots
Solution time: 0.0966651439666748s

Testing 3 Robots
Solution time: 0.3676002025604248s

Testing 4 Robots
Solution time: 7.025068998336792s

Testing 5 Robots
Solution time: 9.274404048919678s

Testing 6 Robots
Solution time: 10.98358941078186s

Testing 7 Robots
Solution time: 13.352818489074707s

Testing 8 Robots
Solution time: 15.664265632629395s

Testing 9 Robots
Solution time: 17.715623378753662s

Testing 10 Robots
Solution time: 18.469359397888184s

Testing 11 Robots
Solution time: 20.253965616226196s

Testing 12 Robots
Solution time: 22.24483871459961s

Testing 13 Robots
Solution time: 24.09826350212097s

Testing 14 Robots
Solution time: 26.71778392791748s

Testing 15 Robots
Solution time: 27.96048331260681s

Testing 16 Robots
Solution time: 29.27903437614441s

Testing 17 Robots
Solution time: 35.64380431175232s

Testing 18 Robots
Solution time: 38.54655885696411s

Testing 19 Robots
Solution time: 41.12672233581543s

Testing 20 Robots
Solution time: 43.72017002105713s

Testing 21 Robots
Solution time: 46.82664442062378s

Testing 22 Robots
Solution time: 49.56244373321533s

Testing 23 Robots
Solution time: 52.604130029678345s

Testing 24 Robots
Timeout
