Seed:  8787115198395882894
Testing 1 Robots
Solution time: 1.610077142715454s

Testing 2 Robots
Solution time: 10.6037437915802s

Testing 3 Robots
Solution time: 14.694695234298706s

Testing 4 Robots
Solution time: 3.456174612045288s

Testing 5 Robots
Solution time: 4.280008554458618s

Testing 6 Robots
Solution time: 5.240418434143066s

Testing 7 Robots
Solution time: 27.266271114349365s

Testing 8 Robots
Solution time: 33.48236846923828s

Testing 9 Robots
Solution time: 56.75417137145996s

Testing 10 Robots
Solution time: 72.35845971107483s

Testing 11 Robots
Solution time: 75.72086715698242s

Testing 12 Robots
Solution time: 79.36525368690491s

Testing 13 Robots
Solution time: 86.42823076248169s

Testing 14 Robots
Solution time: 95.19668841362s

Testing 15 Robots
Timeout
